coordinates,color_r,color_g,color_b,color_a
"[(173.13761720669982, 197.14309649226902), (162.40019896669986, 207.70871604042895), (153.5525663369399, 201.0085670586691), (162.05660158301987, 189.75575274314906)]",0.0,0.0,0.0,0.0
"[(80.69867374019327, 162.7204322645482), (82.79958409330726, 159.32933678088216), (69.3855422344401, 148.20227910778908), (64.69992056259355, 156.3853555029482)]",0.0,0.0,0.0,0.0
"[(134.36445129053988, 192.21336355658912), (125.56590868993828, 175.32912237960363), (115.5619238537401, 185.32440765258912), (128.5930889865399, 197.85050813258908)]",0.0,0.0,0.0,0.0
"[(151.31918334301992, 201.09446640458896), (160.85401074013987, 188.72496059210903), (151.31918334301992, 182.9697044154691), (139.98046968157996, 189.498054705389)]",0.0,0.0,0.0,0.0
"[(149.51529707869992, 201.95345986378902), (137.91888537949995, 190.35704816458906), (129.93024620894, 199.54827817802902), (138.34838210909993, 209.08310557514892)]",0.0,0.0,0.0,0.0
"[(144.16269408605984, 224.47519462218906), (156.0983031693375, 223.6779892266469), (158.1642874710198, 217.087850873069), (162.88875149661976, 210.30180254538914), (151.89363521885986, 202.22726402890908), (140.0395254818999, 210.04410450762907), (143.81909670237985, 215.62756199242904)]",0.0,0.0,0.0,0.0
"[(241.7658569984003, 96.0282790527998), (225.3376070912003, 87.22359609599971), (234.70369164887984, 77.97629531896189), (247.17996605132817, 89.82509191833594)]",0.0,0.0,0.0,0.0
"[(247.83967302799374, 88.39572680222716), (234.92041140162576, 75.9712454083583), (253.50215791104017, 62.612179130879895), (261.6509993617411, 81.3567049008127)]",0.0,0.0,0.0,0.0
"[(262.80548657090594, 80.64202234275831), (255.10890517647397, 61.62047118223359), (279.11019393536014, 55.3705301908891), (281.1717782374401, 75.50533687453708)]",0.0,0.0,0.0,0.0
"[(283.5769599232001, 74.74942263044102), (280.41586399334415, 55.64540809783307), (301.51274335129597, 53.44638484228108), (300.68810963046406, 73.10015518877708)]",0.0,0.0,0.0,0.0
"[(269.01782609612815, 101.202126206505), (259.29194747636086, 84.3214742904513), (278.39262017664146, 77.91474457262916), (281.0994165843972, 95.1314703254526)]",0.0,0.0,0.0,0.0
"[(282.55970546503715, 94.78787294177255), (280.012942373888, 77.21902882564109), (301.806625780735, 74.93786209232917), (300.625509774335, 91.47348618192905)]",0.0,0.0,0.0,0.0
"[(224.15649108480034, 86.25722845439986), (206.4397509888003, 79.3852807807998), (213.06238923264038, 68.0330824319999), (228.4332927977474, 80.14938959390713)]",0.0,0.0,0.0,0.0
"[(229.1479753558018, 78.44514657085438), (214.7803761510403, 66.95934060799982), (230.8886497376734, 53.145526078494186), (240.36299395911703, 69.37417564170232)]",0.0,0.0,0.0,0.0
"[(241.51748116828173, 68.21968843253762), (232.35415377577067, 51.24850607617009), (249.99019721664115, 43.263580414134594), (255.5487098275844, 59.36647234529278)]",0.0,0.0,0.0,0.0
"[(257.0477989236567, 59.06473987650122), (252.46753288979164, 43.66126661824035), (270.3371412211716, 37.37623978977285), (274.1313741414116, 54.74003078028636)]",0.0,0.0,0.0,0.0
"[(275.5531772247007, 54.39070406518613), (273.5874897112201, 37.888347167503525), (291.6900660200504, 35.06441764622332), (292.3045254575924, 52.403737371593024)]",0.0,0.0,0.0,0.0
"[(277.2179380111352, 124.00786344912888), (258.67968729927725, 108.61766763489254), (280.549263963135, 97.22891013072899), (283.01887015833495, 116.23414041552894)]",0.0,0.0,0.0,0.0
"[(284.30736034713493, 114.62352767952893), (282.7315041568771, 96.59175920609255), (300.09136515993487, 93.14869119952914), (299.66186843033483, 107.53683164112897)]",0.0,0.0,0.0,0.0
"[(204.6143898880003, 78.84840986879976), (185.9312821504003, 73.05020401919978), (194.42834632066382, 59.877879506393356), (209.6894363048272, 70.44216638309206)]",0.0,0.0,0.0,0.0
"[(210.7347182848003, 68.54048835839978), (196.02445529600027, 58.98418612479986), (210.16328630784034, 42.90752375039983), (221.43757545984033, 57.939909286399825)]",0.0,0.0,0.0,0.0
"[(223.15556237824035, 56.436670732799826), (211.51642965708015, 42.23080624353338), (227.1284071270403, 30.88161532159984), (235.4059758524204, 47.128001482368745)]",0.0,0.0,0.0,0.0
"[(237.22158027264027, 46.45087176959987), (229.02752702408736, 31.392027193697686), (247.8399056460903, 24.803601187754566), (252.8982109030403, 40.86741428479991)]",0.0,0.0,0.0,0.0
"[(254.72357200384033, 41.08216264959992), (249.1231857200039, 22.163811559325495), (266.40827907782125, 18.71107839467345), (269.97029214511815, 35.61662632155935)]",0.0,0.0,0.0,0.0
"[(272.01081537024027, 36.035576076799885), (268.55005010752313, 17.294919276608198), (288.2465444014765, 15.284478927566965), (290.4791747430403, 33.458595699199805)]",0.0,0.0,0.0,0.0
"[(191.25941756393763, 62.07241052365168), (171.75789007360032, 49.1057613439998), (186.58760684032023, 35.281272445439754), (201.25246622608256, 48.55297102737961)]",0.0,0.0,0.0,0.0
"[(203.46997148603452, 47.04660261293361), (188.39149310464023, 33.649184872959836), (204.88416752128023, 22.482269903359793), (215.56150657674266, 35.649576913495935)]",0.0,0.0,0.0,0.0
"[(216.82417660416024, 34.42227898623992), (206.51625509376026, 21.279679060479793), (223.460642977999, 11.126358699955404), (231.94246148608022, 27.378532620799888)]",0.0,0.0,0.0,0.0
"[(233.2487355238403, 26.37189966079984), (225.34518024816282, 11.313395021093925), (244.1223999448439, 4.158764822520197), (248.0663726950403, 20.57369381119986)]",0.0,0.0,0.0,0.0
"[(249.35486288384027, 19.499951987199893), (245.5805475035495, 4.541727434376185), (264.49462260224027, 0.8168442495998534), (267.7158480742403, 15.09761050879979)]",0.0,0.0,0.0,0.0
"[(269.5412091750403, 15.204984691199797), (266.1052353382403, 0.06522497279979689), (286.61370417664034, -1.867510310400121), (287.04320090624026, 13.486997772799896)]",0.0,0.0,0.0,0.0
"[(74.47263937987344, 88.16932140374979), (61.41593880003364, 96.24385992022962), (54.25547512888403, 87.05764195084271), (64.60277012412695, 75.39846933535955)]",0.0,0.0,0.0,0.0
"[(63.24376038728087, 73.25967494183351), (52.773717089216404, 86.78024863855035), (40.77290617965849, 77.05539638912694), (45.903544488247974, 63.4336028833261)]",0.0,0.0,0.0,0.0
"[(44.801987227758616, 61.56766516949551), (37.21895280577155, 77.71157555181799), (23.111719664034297, 72.66350904663011), (25.141050858861206, 56.19170233600039)]",0.0,0.0,0.0,0.0
"[(23.328139453767108, 56.70318778376645), (21.58857344676693, 71.96051429192312), (3.1933662388496487, 71.07507539444543), (3.836070489465669, 54.37520351508101)]",0.0,0.0,0.0,0.0
"[(94.65898567107308, 78.72039335254999), (76.44832433603341, 87.56802598230979), (69.49047731651353, 77.4319031637499), (83.19487262655338, 65.16154787262963)]",0.0,0.0,0.0,0.0
"[(82.03178182083332, 63.85980650839019), (68.03018843587353, 76.40111101270998), (58.95987055439872, 65.00517883814973), (68.63148385731353, 49.68641443159049)]",0.0,0.0,0.0,0.0
"[(66.27614098883356, 49.041188918630496), (55.670280671208445, 65.06792467363209), (42.18617247041516, 58.05460646097936), (48.34465252803386, 39.27013832023067)]",0.0,0.0,0.0,0.0
"[(46.41191724483389, 39.27013832023067), (39.60919087709482, 56.81460182140995), (22.8423379235536, 52.95923013801689), (26.356617582527008, 35.52174531418643)]",0.0,0.0,0.0,0.0
"[(24.829706582434255, 34.43830011223076), (21.28635856323433, 52.69191112023054), (4.006627408933866, 50.305499923751086), (6.253973027234565, 32.72031319383086)]",0.0,0.0,0.0,0.0
"[(59.36643409347363, 96.99682137430966), (43.303256406433945, 108.76503176534948), (34.815505545634096, 100.79554483542961), (47.205364595562685, 85.72884895154391)]",0.0,0.0,0.0,0.0
"[(45.45074005443388, 83.51062406486994), (34.54152312259407, 98.45711025494961), (20.883527121314273, 93.8185455752697), (24.319500958114247, 75.17838751063005)]",0.0,0.0,0.0,0.0
"[(22.03797784003433, 74.16674760023011), (19.467230893548845, 93.0972605690281), (2.81962025988571, 90.7365229737095), (3.999115196834623, 72.66350904663011)]",0.0,0.0,0.0,0.0
"[(115.53252672963276, 72.79333848407009), (97.06416735683308, 78.97809139030994), (88.0447360352332, 66.52268623191014), (102.56172549571295, 54.23907976535031)]",0.0,0.0,0.0,0.0
"[(101.960430074273, 52.435193501030426), (86.15495042499327, 65.66369277271019), (74.75466255896362, 53.74646158323117), (85.81135304131323, 38.86309684567061)]",0.0,0.0,0.0,0.0
"[(83.99602937316519, 38.48347237424309), (73.81118606225857, 51.23777978557109), (60.84553018665213, 42.99667563818548), (67.66503326781094, 29.530583599840497)]",0.0,0.0,0.0,0.0
"[(64.50263906814627, 28.481053974250926), (58.867322403233686, 42.491363792230686), (43.791640786966184, 35.43385776752939), (47.674697565428005, 20.895634627230947)]",0.0,0.0,0.0,0.0
"[(46.20095513857035, 18.74644989440867), (41.794827401633995, 36.693157942630705), (25.259203312034288, 32.93506155863088), (26.72485316488377, 16.33753931611068)]",0.0,0.0,0.0,0.0
"[(24.738141776838688, 15.242230408137857), (23.56074713360664, 32.073909211514206), (4.6925063687820625, 31.344062867913863), (6.693313379777976, 15.75579866757198)]",0.0,0.0,0.0,0.0
"[(41.524871510434025, 109.57839119702953), (29.491234803478676, 120.7010410920941), (20.532084929536722, 113.9162299899292), (28.27087087043418, 97.76991548758963)]",0.0,0.0,0.0,0.0
"[(26.706100417536675, 97.27323171792932), (18.787254465536705, 112.43983498192915), (2.010038465536809, 107.0711258619292), (2.6811271055368024, 92.84404669392927)]",0.0,0.0,0.0,0.0
"[(135.94687165255743, 56.17900512225265), (113.66672880455747, 66.91642336225277), (105.3870066922168, 55.64399062988173), (122.52509885255745, 42.220361410252735)]",0.0,0.0,0.0,0.0
"[(121.85401021255745, 40.475530946252775), (105.86709973363378, 53.07044042422149), (94.24517168775327, 42.264228405746394), (106.5531892205575, 27.456411330252877)]",0.0,0.0,0.0,0.0
