polygon_id,box_name,coordinates,color_r,color_g,color_b,color_a,area
60,A1,"[[282.55970546503715, 94.7878729417726], [280.012942373888, 77.21902882564103], [301.806625780735, 74.93786209232917], [300.625509774335, 91.4734861819291], [282.55970546503715, 94.7878729417726]]",0.0,0.0,0.0,0.0,341.75704570687316
61,A1,"[[224.15649108480034, 86.25722845439981], [206.4397509888003, 79.3852807807998], [213.06238923264038, 68.03308243199984], [228.4332927977474, 80.14938959390713], [224.15649108480034, 86.25722845439981]]",0.0,0.0,0.0,0.0,196.16820823863242
62,A1,"[[229.1479753558018, 78.44514657085438], [214.7803761510403, 66.95934060799982], [230.8886497376734, 53.14552607849424], [240.36299395911703, 69.37417564170238], [229.1479753558018, 78.44514657085438]]",0.0,0.0,0.0,0.0,325.7169816125239
63,A1,"[[241.51748116828173, 68.21968843253757], [232.35415377577067, 51.24850607617009], [249.99019721664115, 43.263580414134594], [255.5487098275844, 59.36647234529278], [241.51748116828173, 68.21968843253757]]",0.0,0.0,0.0,0.0,323.8135346782009
64,A1,"[[257.0477989236567, 59.06473987650122], [252.46753288979164, 43.66126661824035], [270.3371412211716, 37.3762397897728], [274.1313741414116, 54.740030780286304], [257.0477989236567, 59.06473987650122]]",0.0,0.0,0.0,0.0,308.5428560237495
65,A1,"[[275.5531772247007, 54.390704065186185], [273.5874897112201, 37.888347167503525], [291.6900660200504, 35.06441764622326], [292.3045254575924, 52.403737371593024], [275.5531772247007, 54.390704065186185]]",0.0,0.0,0.0,0.0,297.98201564642955
66,A1,"[[277.2179380111352, 124.00786344912888], [258.67968729927725, 108.6176676348926], [280.549263963135, 97.22891013072905], [283.01887015833495, 116.23414041552894], [277.2179380111352, 124.00786344912888]]",0.0,0.0,0.0,0.0,338.57539751376873
67,A1,"[[284.30736034713493, 114.62352767952893], [282.7315041568771, 96.5917592060926], [300.09136515993487, 93.14869119952908], [299.66186843033483, 107.53683164112897], [284.30736034713493, 114.62352767952893]]",0.0,0.0,0.0,0.0,268.1669401551969
68,A1,"[[204.6143898880003, 78.84840986879976], [185.9312821504003, 73.05020401919978], [194.42834632066382, 59.8778795063933], [209.6894363048272, 70.44216638309206], [204.6143898880003, 78.84840986879976]]",0.0,0.0,0.0,0.0,238.6351848639677
69,A1,"[[210.7347182848003, 68.54048835839978], [196.02445529600027, 58.984186124799805], [210.16328630784034, 42.90752375039983], [221.43757545984033, 57.939909286399825], [210.7347182848003, 68.54048835839978]]",0.0,0.0,0.0,0.0,326.0051714584113
70,A1,"[[223.15556237824035, 56.436670732799826], [211.51642965708015, 42.230806243533436], [227.1284071270403, 30.88161532159984], [235.4059758524204, 47.128001482368745], [223.15556237824035, 56.436670732799826]]",0.0,0.0,0.0,0.0,314.9772365793984
71,A1,"[[237.22158027264027, 46.45087176959987], [229.02752702408736, 31.392027193697686], [247.8399056460903, 24.803601187754566], [252.8982109030403, 40.86741428479985], [237.22158027264027, 46.45087176959987]]",0.0,0.0,0.0,0.0,308.67394803704906
72,A1,"[[254.72357200384033, 41.082162649599866], [249.1231857200039, 22.163811559325552], [266.40827907782125, 18.711078394673393], [269.97029214511815, 35.61662632155935], [254.72357200384033, 41.082162649599866]]",0.0,0.0,0.0,0.0,311.782287062439
73,A1,"[[272.01081537024027, 36.035576076799885], [268.55005010752313, 17.294919276608198], [288.2465444014765, 15.284478927566965], [290.4791747430403, 33.45859569919986], [272.01081537024027, 36.035576076799885]]",0.0,0.0,0.0,0.0,358.74123312751686
74,A1,"[[191.25941756393763, 62.07241052365168], [171.75789007360032, 49.1057613439998], [186.58760684032023, 35.28127244543981], [201.25246622608256, 48.55297102737961], [191.25941756393763, 62.07241052365168]]",0.0,0.0,0.0,0.0,396.38789699429236
75,A1,"[[203.46997148603452, 47.04660261293367], [188.39149310464023, 33.649184872959836], [204.88416752128023, 22.48226990335985], [215.56150657674266, 35.649576913495935], [203.46997148603452, 47.04660261293367]]",0.0,0.0,0.0,0.0,335.1210985724951
76,A1,"[[216.82417660416024, 34.42227898623986], [206.51625509376026, 21.27967906047985], [223.460642977999, 11.126358699955404], [231.94246148608022, 27.37853262079983], [216.82417660416024, 34.42227898623986]]",0.0,0.0,0.0,0.0,316.40085693506614
77,A1,"[[233.2487355238403, 26.37189966079984], [225.34518024816282, 11.313395021093925], [244.1223999448439, 4.158764822520141], [248.0663726950403, 20.57369381119986], [233.2487355238403, 26.37189966079984]]",0.0,0.0,0.0,0.0,302.70114649541443
